Id,Title,Category,Diagram,Interaction,Priority,State,Changed By,Description,Justification,Last Modified
15,Spoofing the karmor-cli External Entity,Spoofing,Diagram 1,HTTPS,High,Not Started,,karmor-cli may be spoofed by an attacker and this may lead to unauthorized access to API Server. Consider using a standard authentication mechanism to identify the external entity.,,Generated
16,Cross Site Scripting,Tampering,Diagram 1,HTTPS,High,Not Started,,The web server 'API Server' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,,Generated
17,Potential Data Repudiation by API Server,Repudiation,Diagram 1,HTTPS,High,Not Started,,"API Server claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
18,Potential Process Crash or Stop for API Server,Denial Of Service,Diagram 1,HTTPS,High,Not Started,,"API Server crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
19,Data Flow HTTPS Is Potentially Interrupted,Denial Of Service,Diagram 1,HTTPS,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
20,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,HTTPS,High,Not Started,,API Server may be able to impersonate the context of karmor-cli in order to gain additional privilege.,,Generated
21,API Server May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Diagram 1,HTTPS,High,Not Started,,karmor-cli may be able to remotely execute code for API Server.,,Generated
22,Elevation by Changing the Execution Flow in API Server,Elevation Of Privilege,Diagram 1,HTTPS,High,Not Started,,An attacker may pass data into API Server in order to change the flow of program execution within API Server to the attacker's choosing.,,Generated
23,"Spoofing the CRD: KSP, KHP Process",Spoofing,Diagram 1,HTTPS,High,Not Started,,"CRD: KSP, KHP may be spoofed by an attacker and this may lead to unauthorized access to Daemonset. Consider using a standard authentication mechanism to identify the source process.",,Generated
24,"CRD: KSP, KHP Process Memory Tampered",Tampering,Diagram 1,HTTPS,High,Not Started,,"If CRD: KSP, KHP is given access to memory, such as shared memory or pointers, or is given the ability to control what Daemonset executes (for example, passing back a function pointer.), then CRD: KSP, KHP can tamper with Daemonset. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
25,Potential Data Repudiation by Daemonset,Repudiation,Diagram 1,HTTPS,High,Not Started,,"Daemonset claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
26,Potential Process Crash or Stop for Daemonset,Denial Of Service,Diagram 1,HTTPS,High,Not Started,,"Daemonset crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
27,Data Flow HTTPS Is Potentially Interrupted,Denial Of Service,Diagram 1,HTTPS,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
28,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,HTTPS,High,Not Started,,"Daemonset may be able to impersonate the context of CRD: KSP, KHP in order to gain additional privilege.",,Generated
29,Daemonset May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Diagram 1,HTTPS,High,Not Started,,"CRD: KSP, KHP may be able to remotely execute code for Daemonset.",,Generated
30,Elevation by Changing the Execution Flow in Daemonset,Elevation Of Privilege,Diagram 1,HTTPS,High,Not Started,,An attacker may pass data into Daemonset in order to change the flow of program execution within Daemonset to the attacker's choosing.,,Generated
31,Spoofing the KubeArmor-Relay Service Process,Spoofing,Diagram 1,Binary,High,Not Started,,KubeArmor-Relay Service may be spoofed by an attacker and this may lead to unauthorized access to KubeArmor Pod. Consider using a standard authentication mechanism to identify the source process.,,Generated
32,Spoofing the KubeArmor Pod Process,Spoofing,Diagram 1,Binary,High,Not Started,,KubeArmor Pod may be spoofed by an attacker and this may lead to information disclosure by KubeArmor-Relay Service. Consider using a standard authentication mechanism to identify the destination process.,,Generated
33,Potential Lack of Input Validation for KubeArmor Pod,Tampering,Diagram 1,Binary,High,Not Started,,Data flowing across Binary may be tampered with by an attacker. This may lead to a denial of service attack against KubeArmor Pod or an elevation of privilege attack against KubeArmor Pod or an information disclosure by KubeArmor Pod. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.,,Generated
34,Potential Data Repudiation by KubeArmor Pod,Repudiation,Diagram 1,Binary,High,Not Started,,"KubeArmor Pod claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
35,Data Flow Sniffing,Information Disclosure,Diagram 1,Binary,High,Not Started,,"Data flowing across Binary may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.",,Generated
36,Weak Credential Transit,Information Disclosure,Diagram 1,Binary,High,Not Started,,"Credentials on the wire are often subject to sniffing by an attacker. Are the credentials re-usable/re-playable? Are credentials included in a message? For example, sending a zip file with the password in the email. Use strong cryptography for the transmission of credentials. Use the OS libraries if at all possible, and consider cryptographic algorithm agility, rather than hardcoding a choice.",,Generated
37,Potential Process Crash or Stop for KubeArmor Pod,Denial Of Service,Diagram 1,Binary,High,Not Started,,"KubeArmor Pod crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
38,Data Flow Binary Is Potentially Interrupted,Denial Of Service,Diagram 1,Binary,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
39,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,Binary,High,Not Started,,KubeArmor Pod may be able to impersonate the context of KubeArmor-Relay Service in order to gain additional privilege.,,Generated
40,KubeArmor Pod May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Diagram 1,Binary,High,Not Started,,KubeArmor-Relay Service may be able to remotely execute code for KubeArmor Pod.,,Generated
41,Elevation by Changing the Execution Flow in KubeArmor Pod,Elevation Of Privilege,Diagram 1,Binary,High,Not Started,,An attacker may pass data into KubeArmor Pod in order to change the flow of program execution within KubeArmor Pod to the attacker's choosing.,,Generated
42,Spoofing the KubeArmor Pod Process,Spoofing,Diagram 1,HTTPS,High,Not Started,,KubeArmor Pod may be spoofed by an attacker and this may lead to unauthorized access to Config Map. Consider using a standard authentication mechanism to identify the source process.,,Generated
43,Spoofing of Destination Data Store Config Map,Spoofing,Diagram 1,HTTPS,High,Not Started,,Config Map may be spoofed by an attacker and this may lead to data being written to the attacker's target instead of Config Map. Consider using a standard authentication mechanism to identify the destination data store.,,Generated
44,The Config Map Data Store Could Be Corrupted,Tampering,Diagram 1,HTTPS,High,Not Started,,Data flowing across HTTPS may be tampered with by an attacker. This may lead to corruption of Config Map. Ensure the integrity of the data flow to the data store.,,Generated
45,Data Store Denies Config Map Potentially Writing Data,Repudiation,Diagram 1,HTTPS,High,Not Started,,"Config Map claims that it did not write data received from an entity on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
46,Potential Excessive Resource Consumption for KubeArmor Pod or Config Map,Denial Of Service,Diagram 1,HTTPS,High,Not Started,,"Does KubeArmor Pod or Config Map take explicit steps to control resource consumption? Resource consumption attacks can be hard to deal with, and there are times that it makes sense to let the OS do the job. Be careful that your resource requests don't deadlock, and that they do timeout.",,Generated
47,Data Flow HTTPS Is Potentially Interrupted,Denial Of Service,Diagram 1,HTTPS,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
48,Data Store Inaccessible,Denial Of Service,Diagram 1,HTTPS,High,Not Started,,An external agent prevents access to a data store on the other side of the trust boundary.,,Generated
49,Spoofing the Daemonset Process,Spoofing,KubeArmor Threat Model,HTTPS,High,Not Started,,Daemonset may be spoofed by an attacker and this may lead to unauthorized access to etcd. Consider using a standard authentication mechanism to identify the source process.,,Generated
50,Spoofing of Destination Data Store etcd,Spoofing,KubeArmor Threat Model,HTTPS,High,Not Started,,etcd may be spoofed by an attacker and this may lead to data being written to the attacker's target instead of etcd. Consider using a standard authentication mechanism to identify the destination data store.,,Generated
51,The etcd Data Store Could Be Corrupted,Tampering,KubeArmor Threat Model,HTTPS,High,Not Started,,Data flowing across HTTPS may be tampered with by an attacker. This may lead to corruption of etcd. Ensure the integrity of the data flow to the data store.,,Generated
52,Data Store Denies etcd Potentially Writing Data,Repudiation,KubeArmor Threat Model,HTTPS,High,Not Started,,"etcd claims that it did not write data received from an entity on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
53,Potential Excessive Resource Consumption for Daemonset or etcd,Denial Of Service,KubeArmor Threat Model,HTTPS,High,Not Started,,"Does Daemonset or etcd take explicit steps to control resource consumption? Resource consumption attacks can be hard to deal with, and there are times that it makes sense to let the OS do the job. Be careful that your resource requests don't deadlock, and that they do timeout.",,Generated
54,Data Flow HTTPS Is Potentially Interrupted,Denial Of Service,KubeArmor Threat Model,HTTPS,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
55,Data Store Inaccessible,Denial Of Service,KubeArmor Threat Model,HTTPS,High,Not Started,,An external agent prevents access to a data store on the other side of the trust boundary.,,Generated
56,Elevation Using Impersonation,Elevation Of Privilege,KubeArmor Threat Model,HTTPS,High,Not Started,,KubeArmor Pod may be able to impersonate the context of Kubelet in order to gain additional privilege.,,Generated
57,Spoofing the KubeArmor Deployment Process,Spoofing,KubeArmor Threat Model,HTTPS,High,Not Started,,KubeArmor Deployment may be spoofed by an attacker and this may lead to unauthorized access to KubeArmor Pod. Consider using a standard authentication mechanism to identify the source process.,,Generated
58,Potential Data Repudiation by KubeArmor Pod,Repudiation,KubeArmor Threat Model,HTTPS,High,Not Started,,"KubeArmor Pod claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
59,Potential Process Crash or Stop for KubeArmor Pod,Denial Of Service,KubeArmor Threat Model,HTTPS,High,Not Started,,"KubeArmor Pod crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
60,Data Flow HTTPS Is Potentially Interrupted,Denial Of Service,KubeArmor Threat Model,HTTPS,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
61,Elevation Using Impersonation,Elevation Of Privilege,KubeArmor Threat Model,HTTPS,High,Not Started,,KubeArmor Pod may be able to impersonate the context of KubeArmor Deployment in order to gain additional privilege.,,Generated
62,KubeArmor Pod May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,KubeArmor Threat Model,HTTPS,High,Not Started,,KubeArmor Deployment may be able to remotely execute code for KubeArmor Pod.,,Generated
63,Elevation by Changing the Execution Flow in KubeArmor Pod,Elevation Of Privilege,KubeArmor Threat Model,HTTPS,High,Not Started,,An attacker may pass data into KubeArmor Pod in order to change the flow of program execution within KubeArmor Pod to the attacker's choosing.,,Generated
